suite,scenario_id,backend,baseline,seeds,delta_success_mean,delta_success_std,delta_success_ci95,delta_collision_mean,delta_collision_std,delta_collision_ci95,delta_clearance_mean,delta_clearance_std,delta_clearance_ci95,delta_path_length_mean,delta_path_length_std,delta_path_length_ci95,delta_solve_time_mean,delta_solve_time_std,delta_solve_time_ci95,summary_path
extended/backend_comparison/casadi,point_mass_2d_dynamic_obstacle_v1,casadi,Fixed CBF gamma=0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.2111417972162931,0.04528066124320504,0.019845124774765535,0.2070382518192254,0.030159434560785285,0.013217954984810992,2.7404208244908244,2.114417564288142,0.9266843556872921,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/casadi,point_mass_2d_dynamic_obstacle_v1,casadi,Fixed CBF gamma=0.08,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.15237807262205533,0.048953328210691885,0.02145474204237718,-0.09842554082503611,0.02366957840490121,0.010373650117175549,2.9103916399668996,0.239577813501141,0.10499960627030636,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/casadi,point_mass_2d_dynamic_obstacle_v1,casadi,Fixed CBF gamma=0.04,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.609065339023261,0.03872164738441433,0.016970510207456165,-0.6870868047338785,0.07146283961460849,0.031319970379712174,2.948507034156127,0.21197031569432448,0.09290008688050161,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.15,20,0.0,0.5619514869490163,0.24628609807551688,0.0,0.0,0.0,0.3648402637010788,0.07225433189874893,0.031666857167709075,0.38210076210260513,0.9622255082727673,0.42171392265171,0.00604332933113263,0.024481004852759183,0.010729273437621265,results/extended/backend_comparison/random_shooting/summary.json
extended/backend_comparison/random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.08,20,0.0,0.45883146774112354,0.2010917570086902,0.0,0.0,0.0,0.029085421245147913,0.04078424839340408,0.017874484956502068,-0.022271083063709084,0.8665413842816062,0.3797785063518061,0.0037392626973648314,0.019639419114148536,0.008607354930857587,results/extended/backend_comparison/random_shooting/summary.json
extended/backend_comparison/random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.04,20,-0.05,0.5104177855340405,0.22370045761428858,0.0,0.0,0.0,-0.19049329632358686,0.048204507982426495,0.021126557107444828,-0.5112508318548776,0.8732012866785863,0.3826973372705057,0.01669761286845185,0.028254587555007173,0.01238311897604626,results/extended/backend_comparison/random_shooting/summary.json
extended/scenarios/aggressive_crossing_v1_random_shooting,aggressive_crossing_v1,random_shooting,Fixed CBF gamma=0.15,50,0.0,0.0,0.0,0.0,0.0,0.0,0.16655769935237374,0.14330711053648837,0.03972270442381961,0.34841395072019393,0.2323990327774584,0.06441772535110914,0.002719579291939476,0.016267336739432776,0.0045090756951568075,results/extended/scenarios/aggressive_crossing_v1_random_shooting/summary.json
extended/scenarios/aggressive_crossing_v1_random_shooting,aggressive_crossing_v1,random_shooting,Fixed CBF gamma=0.08,50,0.0,0.0,0.0,0.0,0.0,0.0,0.05876847686503527,0.028273896648110315,0.007837124307774989,0.0688516384951029,0.04446021989989254,0.012323744209829565,0.003010706676558903,0.015588176546906123,0.004320822094318964,results/extended/scenarios/aggressive_crossing_v1_random_shooting/summary.json
extended/scenarios/aggressive_crossing_v1_random_shooting,aggressive_crossing_v1,random_shooting,Fixed CBF gamma=0.04,50,0.0,0.0,0.0,0.0,0.0,0.0,-0.00738480742127998,0.03471594562197324,0.00962276918132348,0.012294922622305755,0.10894469158481158,0.03019792783600773,0.00398775101244627,0.01472432735698087,0.004081375315232453,results/extended/scenarios/aggressive_crossing_v1_random_shooting/summary.json
extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.15,50,-0.08,0.5283783431116266,0.14645900450296662,0.0,0.0,0.0,0.3619262254765853,0.05844082191949742,0.016198969379137684,0.5403986618221341,1.0440452765806787,0.2893945860149051,0.019868129301817156,0.03685026191538258,0.010214371474836018,results/extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting/summary.json
extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.08,50,-0.06,0.4242640687119285,0.11759999999999998,0.0,0.0,0.0,0.03002389586850416,0.035220560290901544,0.009762641231403359,0.1699984476636636,0.8044993581490437,0.22299584503010617,0.005638894913282395,0.034886337905911745,0.009669999512781913,results/extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting/summary.json
extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.04,50,-0.06,0.5115003939990902,0.14178067569312822,0.0,0.0,0.0,-0.1805010455440825,0.048878745953514165,0.013548497146092757,-0.2533139462639782,0.8839359227394794,0.2450145373605618,-0.0038734209571950995,0.03643037494680952,0.01009798474509455,results/extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting/summary.json
paper_main/e6_adaptive_50_seed,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.15,50,-0.08,0.5283783431116266,0.14645900450296662,0.0,0.0,0.0,0.3619262254765853,0.05844082191949742,0.016198969379137684,0.5403986618221341,1.0440452765806787,0.2893945860149051,0.0005517302792209611,0.022587942060030636,0.006261058105449026,results/paper_main/e6_adaptive_50_seed/summary.json
paper_main/e6_adaptive_50_seed,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.08,50,-0.06,0.4242640687119285,0.11759999999999998,0.0,0.0,0.0,0.03002389586850416,0.035220560290901544,0.009762641231403359,0.1699984476636636,0.8044993581490437,0.22299584503010617,0.006292794905509713,0.029731572835651945,0.008241171532833045,results/paper_main/e6_adaptive_50_seed/summary.json
paper_main/e6_adaptive_50_seed,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.04,50,-0.06,0.5115003939990902,0.14178067569312822,0.0,0.0,0.0,-0.1805010455440825,0.048878745953514165,0.013548497146092757,-0.2533139462639782,0.8839359227394794,0.2450145373605618,0.004110220549543353,0.02393836627658089,0.006635376600881503,results/paper_main/e6_adaptive_50_seed/summary.json
